date,leads_actual,leads_forecast,Nameplate
2019-09-05,433.0,,Cat1
2019-10-05,411.0,,Cat1
2019-11-05,454.0,,Cat1
2019-12-05,430.0,,Cat1
2019-05-13,472.0,,Cat1
2019-05-14,457.0,,Cat1
2019-05-15,492.0,,Cat1
2019-05-16,487.0,,Cat1
2019-05-17,488.0,,Cat1
2019-05-18,405.0,,Cat1
2019-05-19,436.0,,Cat1
2019-05-20,525.0,,Cat1
2019-05-21,422.0,,Cat1
2019-05-22,464.0,,Cat1
2019-05-23,547.0,,Cat1
2019-05-24,501.0,,Cat1
2019-05-25,542.0,,Cat1
2019-05-26,451.0,,Cat1
2019-05-27,468.0,,Cat1
2019-05-28,459.0,,Cat1
2019-05-29,462.0,,Cat1
2019-05-30,534.0,,Cat1
2019-05-31,466.0,,Cat1
2019-01-06,475.0,,Cat1
2019-02-06,487.0,,Cat1
2019-03-06,505.0,,Cat1
2019-04-06,550.0,,Cat1
2019-05-06,577.0,,Cat1
2019-06-06,660.0,,Cat1
2019-07-06,656.0,,Cat1
2019-08-06,614.0,,Cat1
2019-09-06,605.0,,Cat1
2019-10-06,608.0,,Cat1
2019-11-06,619.0,,Cat1
2019-12-06,563.0,,Cat1
2019-06-13,567.0,,Cat1
2019-06-14,562.0,,Cat1
2019-06-15,613.0,,Cat1
2019-06-16,529.0,,Cat1
2019-06-17,683.0,,Cat1
2019-06-18,596.0,,Cat1
2019-06-19,674.0,,Cat1
2019-06-20,652.0,,Cat1
2019-06-21,602.0,,Cat1
2019-06-22,563.0,,Cat1
2019-06-23,490.0,,Cat1
2019-06-24,559.0,,Cat1
2019-06-25,602.0,,Cat1
2019-06-26,615.0,,Cat1
2019-06-27,595.0,,Cat1
2019-06-28,575.0,,Cat1
2019-06-29,533.0,,Cat1
2019-06-30,495.0,,Cat1
2019-01-07,770.0,,Cat1
2019-02-07,636.0,,Cat1
2019-03-07,601.0,,Cat1
2019-04-07,593.0,,Cat1
2019-05-07,604.0,,Cat1
2019-06-07,634.0,,Cat1
2019-07-07,536.0,,Cat1
2019-08-07,601.0,,Cat1
2019-09-07,673.0,,Cat1
2019-10-07,606.0,,Cat1
2019-11-07,582.0,,Cat1
2019-12-07,580.0,,Cat1
2019-07-13,553.0,,Cat1
2019-07-14,550.0,,Cat1
2019-07-15,617.0,,Cat1
2019-07-16,692.0,,Cat1
2019-07-17,721.0,,Cat1
2019-07-18,638.0,,Cat1
2019-07-19,601.0,,Cat1
2019-07-20,557.0,,Cat1
2019-07-21,541.0,,Cat1
2019-07-22,592.0,,Cat1
2019-07-23,629.0,,Cat1
